business_id,name,full_address,postal_code
_2iPJy_nNDkez2jSqa40xg,Taco Bell,"6447 North Royalton Rd, North Royalton, OH, 44133",44133
_4-kSAZ1qopE2GcMojLxzg,Burger King,"414 Water Street, Chardon, OH, 44024",44024
_4l36Tgbmoroh3udeXU-JA,Arby's,"604 Wood St, Pittsburgh, PA, 15222",15222
_4Tus-IHFA4ErdNg32yvBQ,Wendy's,"29778 Detroit Road, Westlake, OH, 44145",44145
_7fUu7WVMNacg_2KSxlY3Q,Subway Restaurants,"1000 Ross Park Mall Dr, Room VC13, Pittsburgh, PA, 15237",15237
_9JdskgVrCRg_Lq4_uUucw,Taco Bell,"993 Graham Rd., Cuyahoga Falls, OH, 44221",44221
_cnEt-zbF3WnDt9ZapaCIQ,Wendy's,"558 Griswold, Elyria, OH, 44035",44035
_D7rUvTYVivYBDeGL_gTVQ,Dairy Queen,"4656 Cottage Grove Rd, Madison, WI, 53716",53716
_dGND4z03G9REQh_KvfLUw,McDonald's,"107 Horizon Dr, Verona, WI, 53719",53719
_DL5X-w1tqqVKeNt2BZubw,Dairy Queen Grill & Chill,"5110 State Route 51, Belle Vernon, PA, 15012",15012
_E5sWHHe0tlVPuU6pR1gVg,Burger King,"19000 Brookpark Rd, Cleveland, OH, 44135",44135
_EVOLAjWYEfSOO_smbBxaA,Chipotle Mexican Grill,"11359 Perry Hwy, Wexford, PA, 15090",15090
_hyTrtBKh9YJxnV--ixJVQ,Dairy Queen / Orange Julius,"21665 Center Ridge Rd, Rocky River, OH, 44116",44116
_n5AlOfsTd0gKHAgCVsWAw,Potbelly Sandwich Shop,"6901 Rockside Rd, Independence, OH, 44131",44131
_OimUEl0DzPg6GtJXYeoJw,Piada Italian Street Food,"3870 Richmond Rd, Beachwood, OH, 44122",44122
_omjGkkkddnKVWG3Uua9Kw,Five Guys,"8234 Greenway Blvd, Middleton, WI, 53562",53562
_p0_p2SD5YY4y2R2eLm_0Q,Chick-fil-A,"6150 Som Center Rd, Solon, OH, 44139",44139
_Q9xk_OvOw_C3Fi7ETNzTQ,Subway Restaurants,"27097 Bagley Rd, Unit 1, Stearns & Bagley Plz Shopping, Olmsted Twp, OH, 44138",44138
_QL-D_zQ-RSdlsMZF3TLyg,Chipotle Mexican Grill,"2783 Euclid Hts Blvd, Cleveland Heights, OH, 44106",44106
_rKz-rQPzUAIZWlUHCKgow,McDonald's,"3708 Forbes Ave, Pittsburgh, PA, 15213",15213
_tJ1mf_KEL4sx5fh9DTtTw,McDonald's,"4020 Milwaukee St, Madison, WI, 53704",53704
