name,business_id,star_y,BikeParking,Caters,NoiseLevel,OutdoorSeating,RestaurantsDelivery,RestaurantsTableService
Pita Pit,oCvxJBOs-Mbg-4oanPO7lQ,3.5,TRUE,TRUE,average,TRUE,TRUE,NA
Johnny Rockets,gKCQMUVa31kLInYxaAkiLA,3,NA,FALSE,average,FALSE,FALSE,NA
Burgatory,KTPRYqiFdLowAUEAnN7e3g,4,TRUE,TRUE,average,TRUE,TRUE,TRUE
Firehouse Subs,08JPvTyVYt6I4PbGkQ76jQ,4,FALSE,TRUE,quiet,FALSE,FALSE,NA
Stownut Donut & Diner,#NAME?,4,TRUE,FALSE,average,TRUE,FALSE,NA
Blended,Iq1P8S3--gqd50xoQJxpqA,4.5,TRUE,TRUE,average,TRUE,FALSE,FALSE
Kouskous Express,tcnu9ivUsuQUNiz944bpOA,4.5,NA,NA,NA,TRUE,None,NA
Chipotle Mexican Grill,W2RNay2mirTVPYO6rA_g2g,3,TRUE,TRUE,average,TRUE,FALSE,FALSE
Sweetie Fry,24t7-XcaR6yJi_20CPoB2Q,4,TRUE,FALSE,average,FALSE,FALSE,NA
Sonic Drive-In,ObNQVg_ohRVLex4ppmMC5w,3.5,TRUE,FALSE,average,TRUE,FALSE,FALSE
TGI Fridays,8v66rFpXa87u2jRGOn8ZfA,2.5,FALSE,FALSE,average,TRUE,TRUE,NA
The Alcove,5oA6zlmJ4jQREDH6dNCq6w,4.5,TRUE,TRUE,average,FALSE,TRUE,TRUE
Steak n Shake,JO5_Frcbp9J732VNn-I3Ew,2,TRUE,NA,average,FALSE,FALSE,NA
Chipotle Mexican Grill,OJ8FKDGWI5jo0MwUv496AQ,1.5,TRUE,TRUE,very,TRUE,FALSE,FALSE
The Campus Grille,DdZo9MKaDrh9OJnpVwbBUA,4.5,TRUE,TRUE,average,TRUE,FALSE,FALSE
Jimmy John's,tYNK4--H4WDaUBZ13salzA,2.5,TRUE,TRUE,average,TRUE,TRUE,NA
Popeyes Louisiana Kitchen,fjrog_MaZB5il7RCOnfmYQ,2,NA,FALSE,NA,FALSE,FALSE,NA
Swensons Drive-In,PGsrhKu41CWhs152bctWkQ,4.5,TRUE,TRUE,average,TRUE,FALSE,NA
Z's Cream & Bean,Bmv3nHS2nfjzhkDQMsLAWQ,4,TRUE,TRUE,average,TRUE,NA,NA
McDonald's,trZ9PBGPUil8NEAoFdb1rQ,1,TRUE,FALSE,NA,NA,TRUE,NA
DP Dough,sYf2auhosrx8trbyP9nGyw,3,TRUE,TRUE,average,FALSE,TRUE,FALSE
QDOBA Mexican Eats,xvA7fdaq5k3xeDvrzLZkzw,3,FALSE,TRUE,average,TRUE,FALSE,NA
Wendy's,grZ6FnfZoj1pQWElAQve3g,2,FALSE,FALSE,NA,FALSE,FALSE,NA
Popeyes Louisiana Kitchen,4WGhJKDcOccXhftoAwagJw,2,FALSE,TRUE,average,FALSE,FALSE,NA
Jersey Mike's Subs,vblct6rMen0wyOqGEy-pNQ,3,FALSE,NA,NA,FALSE,FALSE,NA
KFC,WhXlv34bw0-112MqSPmCHw,2,NA,TRUE,NA,NA,FALSE,NA
Steak n Shake,wztnDEbXD1VNvHMMPj2tMw,1.5,FALSE,FALSE,average,FALSE,FALSE,NA
Chipotle Mexican Grill,zMPfZdODe82SL_zxnv7asg,3,TRUE,TRUE,loud,FALSE,FALSE,NA
Burger King,XcBRdmFOBEKmgKbPvz5s0g,2,NA,NA,NA,NA,FALSE,NA
Taqueria Gonzalez,Uj77Cm-azkhW-F-vMIBbfg,4.5,FALSE,TRUE,average,FALSE,TRUE,TRUE
Feeney's Weenies,BaIRfAJzaqL0VKizwlTciw,4.5,FALSE,TRUE,average,FALSE,TRUE,FALSE
Chick-fil-A,cFDpY9Y-s2yNnsqNk__xqQ,4,FALSE,FALSE,NA,FALSE,FALSE,FALSE
Popeyes Louisiana Kitchen,kU-PnJKZfYycGfHYE719Lg,2,TRUE,FALSE,average,TRUE,FALSE,NA
Five Guys,ghovD5ZTGDQ5Q2U4ERddWw,4,FALSE,FALSE,loud,FALSE,TRUE,NA
Erbert and Gerbert's,E9fhAPEnwiKkH85gmuYbdw,3,TRUE,TRUE,average,FALSE,TRUE,FALSE
Panda Express,GeeR1ScER2WpFoJs1sTjsA,2.5,TRUE,NA,average,TRUE,FALSE,FALSE
Rockne's,j6wN7ZFx5bl2t4KfLaAbJQ,2.5,FALSE,FALSE,loud,FALSE,FALSE,NA
Quiznos,khHxKm1_x6syS5W2LTX0lw,3,NA,NA,NA,FALSE,TRUE,NA
Mixed Greens,UT7I809RZYVsRzUUsCDTbQ,3.5,TRUE,FALSE,NA,FALSE,FALSE,NA
Chipotle Mexican Grill,pIhteCW9zwjWzemoJwm4lw,3,TRUE,TRUE,average,TRUE,FALSE,NA
Subway Restaurants,hV8LFG_UleDQFHvqzBPqPQ,3,TRUE,TRUE,NA,TRUE,TRUE,NA
McDonald's,oqVcCVbwjcA1LXzGfR2z9w,1.5,NA,NA,NA,NA,TRUE,NA
Chipotle Mexican Grill,#NAME?,2.5,TRUE,TRUE,average,TRUE,FALSE,NA
Burger King,Hl_RQeOOaEjWvO7eGkb1Lg,1.5,NA,NA,NA,NA,None,NA
McDonald's,hCxM2MH3cDaqozUDpydXZg,3,TRUE,FALSE,average,FALSE,TRUE,NA
Wendy's,f0O3dXG2t3QUFw8ogNRVjA,1.5,FALSE,FALSE,average,FALSE,FALSE,NA
Burger King,q8TX-umIvle22sSC3kkHlw,3.5,NA,NA,NA,NA,NA,NA
Five Guys,usdef3dIb6VXGV8peev2_w,3.5,TRUE,FALSE,average,FALSE,FALSE,NA
McDonald's,DNKb7_EJPGBULaUwL0mq8g,2,TRUE,FALSE,average,FALSE,TRUE,FALSE
Five Guys,bVE26iEtkEsAWZHMVyAPeQ,3,TRUE,NA,average,TRUE,TRUE,NA
McDonald's,di3wdIs-q4Y3GHM2YFYIdg,3,NA,FALSE,average,FALSE,TRUE,NA
Burger King,pfGV7rxls65U-yusYR_zfw,2,NA,NA,NA,NA,FALSE,NA
McDonald's,wSJflDkXz9BPxiqElNe0jw,2,NA,NA,NA,NA,TRUE,NA
Subway Restaurants,URmpCBod57A07npzwCp4bA,2.5,NA,NA,NA,NA,FALSE,NA
Subway Restaurants,vc3z-aoBWCm8R94bfzU1dA,2,NA,NA,NA,NA,NA,NA
Dairy Queen Grill & Chill,RtDfRUa_ahMBVcoWzuh-9w,3.5,NA,NA,NA,TRUE,FALSE,NA
QDOBA Mexican Eats,HfQm-rq78QfSeJmm0i1I9Q,3,TRUE,TRUE,average,TRUE,FALSE,NA
McDonald's,awGiEZOQ7ldhrzTbibpV2w,1,NA,NA,NA,NA,TRUE,NA
