"all_restaurant","all_number","all_stars"
"Pita Pit",158,3.5253164556962
"Johnny Rockets",6,3
"Burgatory",868,4.01612903225806
"Firehouse Subs",275,3.62545454545455
"Stownut Donut & Diner",91,4.1978021978022
"Blended",65,4.35384615384615
"Kouskous Express",36,4.75
"Chipotle Mexican Grill",2741,2.5640277271069
"Sweetie Fry",122,4.20491803278689
"Sonic Drive-In",436,2.13073394495413
"TGI Fridays",62,2.37096774193548
"The Alcove",43,4.37209302325581
"Steak n Shake",1104,2.02083333333333
"The Campus Grille",195,4.44102564102564
"Jimmy John's",895,2.97430167597765
"Popeyes Louisiana Kitchen",480,2.1375
"Swensons Drive-In",1098,4.27413479052823
"Z's Cream & Bean",51,4.17647058823529
"McDonald's",2867,1.82699686083014
"DP Dough",66,3.13636363636364
"QDOBA Mexican Eats",371,3.04312668463612
"Wendy's",1263,1.85193982581156
"Jersey Mike's Subs",376,3.71010638297872
"KFC",470,2.08936170212766
"Burger King",858,2.04778554778555
"Taqueria Gonzalez",64,4.265625
"Feeney's Weenies",11,4.63636363636364
"Chick-fil-A",903,3.77630121816168
"Five Guys",828,3.61835748792271
"Erbert and Gerbert's",29,3.10344827586207
"Panda Express",548,2.51459854014599
"Rockne's",30,2.6
"Quiznos",34,3.85294117647059
"Mixed Greens",9,3.44444444444444
"Subway Restaurants",863,2.55272305909618
"Dairy Queen Grill & Chill",222,2.79279279279279
"4B Cafe",6,4.16666666666667
"Taco Bell",1317,2.15793470007593
"Arby's",440,2.86363636363636
"Wingin Out",54,2.62962962962963
"The Red Caboose",39,4.51282051282051
"Max & Erma's",13,2.76923076923077
"Penn Station East Coast Subs",88,3.70454545454545
"Auntie Anne's",21,2.42857142857143
"Potbelly Sandwich Shop",290,3.53448275862069
"Dairy Queen",278,2.72661870503597
"Backdraft Bar & Grille",10,4
"Steel City Diner",5,3
"Tilted Kilt Pub & Eatery",126,2.74603174603175
"Fernando's",7,3.85714285714286
"Earl's Dairy Whip",5,4
"Sheetz",24,3.875
"Dairy Queen Orange Julius",35,3.25714285714286
"Subway",103,2.40776699029126
"Fossil Fuels Caf",3,3.66666666666667
"Deon's Restaurant",16,2.6875
"Rally's",90,2.17777777777778
"Mr. Chicken",26,2.30769230769231
"Salad Creations Madison",21,2.23809523809524
"Cha Spirits & Pizza Kitchen",81,3.59259259259259
"The Place To Be",116,4.12068965517241
"Arby's Roast Beef Drive-In",10,3.2
"Hong Kong Wok",27,3.81481481481481
"Culver's",494,3.60121457489879
"Firehouse Subs Mineral Point",41,3.68292682926829
"Seti's Polish Boys",33,4.27272727272727
"Denny's",203,2.60098522167488
"Mr Hero",32,3.46875
"Chopsticks Express",49,4.18367346938776
"Popeyes",4,3.5
"Daboro's",20,4.15
"Long John Silver's",108,2.44444444444444
"Bob Evans",69,2.02898550724638
"Real McCoy Sandwich Shop",11,4.54545454545455
"Beckham's B & M Bar B Que",13,2.46153846153846
"Raising Cane's Chicken Fingers",132,3.21212121212121
"Applebee's",14,2.28571428571429
"Jade Tree Chinese Cuisine",18,4.33333333333333
"Inn Cahoots Bar",4,3.75
"Al's Fish & Chicken",6,4
"White Castle",28,2.85714285714286
"Sarku Japan",19,2.94736842105263
"Wingstop",10,2.3
"Dunkin'",26,2.34615384615385
"Starbucks",67,2.92537313432836
"Jin's Chicken and Fish",8,4.125
"Tasty Platters and Fried Chicken",5,2.4
"Pots n Tots",3,5
"Aces Grille - Middleburg Heights",18,2
"Smoky Jon's No 1 BBQ",242,4.05371900826446
"Tea House Noodles",94,3.97872340425532
"Hot Head Burritos",109,3.45871559633028
"Freddy's Frozen Custard & Steakburgers",30,3.16666666666667
"Skyway Drive-In Restaurant",57,3.91228070175439
"Rascal House",64,3
"Chicken Grille",30,3.6
"Patron Mexican Grill",192,3.55729166666667
"Best Gyros",122,3.81147540983607
"Harold's Chicken",30,3.66666666666667
"Hardee's",77,3.07792207792208
"Guthrie's Chicken Fingers",85,3.81176470588235
"DiPietro's",60,3.66666666666667
"Swensons Food Truck",4,3.75
"Arcade Pizza",26,3.26923076923077
"Dairy Queen / Orange Julius",10,3.1
