"all_restaurant","safety","taste","clean","service","speed","price"
"Pita Pit",0.752066115702479,0.732824427480916,0.342723004694836,0.737037037037037,0.822222222222222,0.617117117117117
"Johnny Rockets",NA,0.400763358778626,NA,0.925925925925926,0.922222222222222,NA
"Burgatory",0.351239669421488,0.862595419847328,0.352112676056338,0.496296296296296,0.240740740740741,0.671171171171171
"Firehouse Subs",0.528925619834711,0.572519083969466,0.821596244131455,0.722222222222222,0.514814814814815,0.423423423423423
"Stownut Donut & Diner",0.537190082644628,0.916030534351145,0.694835680751174,0.862962962962963,0.625925925925926,0.504504504504504
"Blended",0.917355371900826,0.942748091603053,0.643192488262911,0.544444444444444,0.381481481481481,0.896396396396396
"Kouskous Express",0.747933884297521,0.977099236641221,0.727699530516432,0.692592592592593,0.677777777777778,NA
"Chipotle Mexican Grill",0.239669421487603,0.274809160305344,0.150234741784038,0.17037037037037,0.17037037037037,0.297297297297297
"Sweetie Fry",0.508264462809917,0.881679389312977,0.422535211267606,0.52962962962963,0.481481481481481,0.810810810810811
"Sonic Drive-In",0.252066115702479,0.179389312977099,0.154929577464789,0.185185185185185,0.0592592592592593,0.22972972972973
"TGI Fridays",0.0743801652892562,0.431297709923664,0.131455399061033,0.248148148148148,0.0259259259259259,0.13963963963964
"The Alcove",0.665289256198347,0.877862595419847,0.474178403755869,0.592592592592593,0.840740740740741,0.792792792792793
"Steak n Shake",0.210743801652893,0.229007633587786,0.136150234741784,0.0740740740740741,0.0333333333333333,0.36036036036036
"The Campus Grille",0.603305785123967,0.931297709923664,0.629107981220657,0.72962962962963,0.611111111111111,0.761261261261261
"Jimmy John's",0.495867768595041,0.347328244274809,0.647887323943662,0.37037037037037,0.744444444444444,0.382882882882883
"Popeyes Louisiana Kitchen",0.318181818181818,0.187022900763359,0.107981220657277,0.0777777777777778,0.151851851851852,0.265765765765766
"Swensons Drive-In",0.338842975206612,0.641221374045801,0.338028169014085,0.477777777777778,0.851851851851852,0.689189189189189
"Z's Cream & Bean",0.347107438016529,0.755725190839695,0.910798122065728,0.566666666666667,0.459259259259259,0.90990990990991
"McDonald's",0.169421487603306,0.125954198473282,0.126760563380282,0.0666666666666667,0.0851851851851852,0.288288288288288
"DP Dough",0.479338842975207,0.694656488549618,NA,0.062962962962963,0.255555555555556,0.540540540540541
"QDOBA Mexican Eats",0.442148760330579,0.49236641221374,0.375586854460094,0.492592592592593,0.7,0.490990990990991
"Wendy's",0.190082644628099,0.16030534351145,0.187793427230047,0.0555555555555556,0.0740740740740741,0.306306306306306
"Jersey Mike's Subs",0.84297520661157,0.522900763358779,0.619718309859155,0.725925925925926,0.588888888888889,0.581081081081081
"KFC",0.260330578512397,0.133587786259542,0.314553990610329,0.148148148148148,0.159259259259259,0.378378378378378
"Burger King",0.28099173553719,0.137404580152672,0.164319248826291,0.0962962962962963,0.185185185185185,0.283783783783784
"Taqueria Gonzalez",0.696280991735537,0.927480916030534,0.793427230046948,0.588888888888889,0.777777777777778,0.756756756756757
"Feeney's Weenies",0.723140495867769,0.66030534351145,NA,0.911111111111111,0.674074074074074,0.837837837837838
"Chick-fil-A",0.471074380165289,0.511450381679389,0.849765258215962,0.82962962962963,0.792592592592593,0.45045045045045
"Five Guys",0.673553719008264,0.637404580152672,0.483568075117371,0.62962962962963,0.648148148148148,0.468468468468468
"Erbert and Gerbert's",0.570247933884298,0.450381679389313,0.389671361502347,0.274074074074074,0.244444444444444,0.851351351351351
"Panda Express",0.31404958677686,0.0534351145038168,0.71830985915493,0.285185185185185,0.207407407407407,0.337837837837838
"Rockne's",0.0578512396694215,0.259541984732824,NA,0.433333333333333,0.222222222222222,0.153153153153153
"Quiznos",0.504132231404959,0.33969465648855,0.938967136150235,0.885185185185185,0.733333333333333,0.166666666666667
"Mixed Greens",0.971074380165289,0.622137404580153,NA,0.0814814814814815,0.433333333333333,NA
"Subway Restaurants",0.301652892561983,0.217557251908397,0.68075117370892,0.22962962962963,0.466666666666667,0.247747747747748
"Dairy Queen Grill & Chill",0.322314049586777,0.251908396946565,0.511737089201878,0.288888888888889,0.355555555555556,0.427927927927928
"4B Cafe",0.65702479338843,0.0267175572519084,NA,0.988888888888889,0.97037037037037,0.997747747747748
"Taco Bell",0.21900826446281,0.236641221374046,0.258215962441315,0.166666666666667,0.0777777777777778,0.31981981981982
"Arby's",0.516528925619835,0.305343511450382,0.737089201877934,0.455555555555556,0.707407407407407,0.333333333333333
"Wingin Out",0.12396694214876,0.221374045801527,0.36150234741784,0.0481481481481481,0.311111111111111,0.18018018018018
"The Red Caboose",0.380165289256198,0.316793893129771,NA,0.677777777777778,0.814814814814815,0.914414414414414
"Max & Erma's",NA,0.33206106870229,0.00938967136150235,0.666666666666667,0.422222222222222,0.126126126126126
"Penn Station East Coast Subs",0.925619834710744,0.465648854961832,0.572769953051643,0.444444444444444,0.607407407407407,0.256756756756757
"Auntie Anne's",0.0537190082644628,0.324427480916031,0.753521126760563,0.759259259259259,0.403703703703704,0.261261261261261
"Potbelly Sandwich Shop",0.59504132231405,0.725190839694656,0.347417840375587,0.818518518518519,0.52962962962963,0.369369369369369
"Dairy Queen",0.256198347107438,0.381679389312977,0.169014084507042,0.174074074074074,0.388888888888889,0.599099099099099
