"business_id","name","address","city","state","postal_code","stars_y","business_id","name","address","city","state","stars_y","BusinessParking","Caters","NoiseLevel","OutdoorSeating","RestaurantsDelivery","RestaurantsTableService"
"oCvxJBOs-Mbg-4oanPO7lQ","Pita Pit","2763 East Carson St","Pittsburgh","PA","15203",3.5,"oCvxJBOs-Mbg-4oanPO7lQ","Pita Pit","2763 East Carson St","Pittsburgh","PA",3.5,NA,"True","average","True","True",NA
"gKCQMUVa31kLInYxaAkiLA","Johnny Rockets","433 Pittsburg Mills Circle, Galleria at Pittsburg Mills","Tarentum","PA","15084",3,"gKCQMUVa31kLInYxaAkiLA","Johnny Rockets","433 Pittsburg Mills Circle, Galleria at Pittsburg Mills","Tarentum","PA",3,NA,"False","average","False","False",NA
"KTPRYqiFdLowAUEAnN7e3g","Burgatory","932 Freeport Rd","Pittsburgh","PA","15238",4,"KTPRYqiFdLowAUEAnN7e3g","Burgatory","932 Freeport Rd","Pittsburgh","PA",4,NA,"True","average","True","True","True"
"08JPvTyVYt6I4PbGkQ76jQ","Firehouse Subs","6232 Mayfield Rd","Mayfield Heights","OH","44124",4,"08JPvTyVYt6I4PbGkQ76jQ","Firehouse Subs","6232 Mayfield Rd","Mayfield Heights","OH",4,NA,"True","quiet","False","False",NA
"-MC7EFxTsyKMKB3zeP_FIQ","Stownut Donut & Diner","3055 Graham Rd","Stow","OH","44224",4,"-MC7EFxTsyKMKB3zeP_FIQ","Stownut Donut & Diner","3055 Graham Rd","Stow","OH",4,NA,"False","average","True","False",NA
"Iq1P8S3--gqd50xoQJxpqA","Blended","717 Hilldale Way","Madison","WI","53705",4.5,"Iq1P8S3--gqd50xoQJxpqA","Blended","717 Hilldale Way","Madison","WI",4.5,NA,"True","average","True","False","False"
"tcnu9ivUsuQUNiz944bpOA","Kouskous Express","665 Washington Rd","Pittsburgh","PA","15228",4.5,"tcnu9ivUsuQUNiz944bpOA","Kouskous Express","665 Washington Rd","Pittsburgh","PA",4.5,NA,NA,NA,"True","None",NA
"W2RNay2mirTVPYO6rA_g2g","Chipotle Mexican Grill","14881 Detroit Ave","Lakewood","OH","44107",3,"W2RNay2mirTVPYO6rA_g2g","Chipotle Mexican Grill","14881 Detroit Ave","Lakewood","OH",3,NA,"True","average","True","False","False"
"24t7-XcaR6yJi_20CPoB2Q","Sweetie Fry","2307 Lee Rd","Cleveland Heights","OH","44118",4,"24t7-XcaR6yJi_20CPoB2Q","Sweetie Fry","2307 Lee Rd","Cleveland Heights","OH",4,NA,"False","average","False","False",NA
"ObNQVg_ohRVLex4ppmMC5w","Sonic Drive-In","101 Calvin St","Savoy","IL","61874",3.5,"ObNQVg_ohRVLex4ppmMC5w","Sonic Drive-In","101 Calvin St","Savoy","IL",3.5,NA,"False","average","True","False","False"
"8v66rFpXa87u2jRGOn8ZfA","TGI Fridays","10320 Cascade Xing","Brooklyn","OH","44144",2.5,"8v66rFpXa87u2jRGOn8ZfA","TGI Fridays","10320 Cascade Xing","Brooklyn","OH",2.5,NA,"False","average","True","True",NA
"5oA6zlmJ4jQREDH6dNCq6w","The Alcove","875 Greentree Rd, Ste 106 Bldg 4","Pittsburgh","PA","15220",4.5,"5oA6zlmJ4jQREDH6dNCq6w","The Alcove","875 Greentree Rd, Ste 106 Bldg 4","Pittsburgh","PA",4.5,NA,"True","average","False","True","True"
"JO5_Frcbp9J732VNn-I3Ew","Steak n Shake","3316 Center Rd","Brunswick","OH","44212",2,"JO5_Frcbp9J732VNn-I3Ew","Steak n Shake","3316 Center Rd","Brunswick","OH",2,NA,NA,"average","False","False",NA
"OJ8FKDGWI5jo0MwUv496AQ","Chipotle Mexican Grill","13937 Cedar Rd","South Euclid","OH","44118",1.5,"OJ8FKDGWI5jo0MwUv496AQ","Chipotle Mexican Grill","13937 Cedar Rd","South Euclid","OH",1.5,NA,"True","very","True","False","False"
"DdZo9MKaDrh9OJnpVwbBUA","The Campus Grille","10 Seminary St","Berea","OH","44017",4.5,"DdZo9MKaDrh9OJnpVwbBUA","The Campus Grille","10 Seminary St","Berea","OH",4.5,NA,"True","average","True","False","False"
"tYNK4--H4WDaUBZ13salzA","Jimmy John's","11446 Euclid Ave","Cleveland","OH","44106",2.5,"tYNK4--H4WDaUBZ13salzA","Jimmy John's","11446 Euclid Ave","Cleveland","OH",2.5,"None","True","average","True","True",NA
"fjrog_MaZB5il7RCOnfmYQ","Popeyes Louisiana Kitchen","620 Howard St","Akron","OH","44310",2,"fjrog_MaZB5il7RCOnfmYQ","Popeyes Louisiana Kitchen","620 Howard St","Akron","OH",2,NA,"False",NA,"False","False",NA
"PGsrhKu41CWhs152bctWkQ","Swensons Drive-In","658 E Cuyahoga Falls Ave","Akron","OH","44310",4.5,"PGsrhKu41CWhs152bctWkQ","Swensons Drive-In","658 E Cuyahoga Falls Ave","Akron","OH",4.5,NA,"True","average","True","False",NA
"Bmv3nHS2nfjzhkDQMsLAWQ","Z's Cream & Bean","2706 Boston Rd","Hinckley","OH","44233",4,"Bmv3nHS2nfjzhkDQMsLAWQ","Z's Cream & Bean","2706 Boston Rd","Hinckley","OH",4,NA,"True","average","True",NA,NA
"trZ9PBGPUil8NEAoFdb1rQ","McDonald's","10700 Brookpark Rd","Brooklyn","OH","44130",1,"trZ9PBGPUil8NEAoFdb1rQ","McDonald's","10700 Brookpark Rd","Brooklyn","OH",1,NA,"False",NA,NA,"True",NA
"sYf2auhosrx8trbyP9nGyw","DP Dough","33 E Green St","Champaign","IL","61820",3,"sYf2auhosrx8trbyP9nGyw","DP Dough","33 E Green St","Champaign","IL",3,NA,"True","average","False","True","False"
"xvA7fdaq5k3xeDvrzLZkzw","QDOBA Mexican Eats","6319 Wilson Mills Rd","Highland Heights","OH","44143",3,"xvA7fdaq5k3xeDvrzLZkzw","QDOBA Mexican Eats","6319 Wilson Mills Rd","Highland Heights","OH",3,NA,"True","average","True","False",NA
"grZ6FnfZoj1pQWElAQve3g","Wendy's","2410 W. Liberty","Pittsburgh","PA","15226",2,"grZ6FnfZoj1pQWElAQve3g","Wendy's","2410 W. Liberty","Pittsburgh","PA",2,NA,"False",NA,"False","False",NA
"4WGhJKDcOccXhftoAwagJw","Popeyes Louisiana Kitchen","6876 Macedonia Commons Blvd","Macedonia","OH","44056",2,"4WGhJKDcOccXhftoAwagJw","Popeyes Louisiana Kitchen","6876 Macedonia Commons Blvd","Macedonia","OH",2,NA,"True","average","False","False",NA
"vblct6rMen0wyOqGEy-pNQ","Jersey Mike's Subs","7390 Mcknight Rd","Pittsburgh","PA","15237",3,"vblct6rMen0wyOqGEy-pNQ","Jersey Mike's Subs","7390 Mcknight Rd","Pittsburgh","PA",3,NA,NA,NA,"False","False",NA
